,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1000,1.88713,-0.94306,1000.92902,-99.78118,-2.07474,surströmming,1.20933,0.25152,5471.84378,-89185.86531,False,False,44.82112
1001,0.60919,0.44672,1000.95537,-99.81140,0.98278,mustard silt,-0.02078,0.13737,5479.29505,-89187.37454,True,False,-19.06284
1002,0.17489,1.01358,1001.31386,-99.46827,2.22987,mustard silt,-0.79854,1.03150,5476.46953,-89186.75279,False,False,-40.59849
1003,0.45969,0.66459,1000.86399,-99.87801,1.46210,mustard silt,2.11168,1.95872,5474.97051,-89186.40125,True,False,-26.58353
1004,-0.19278,1.01249,1000.84052,-100.08750,2.22747,mustard silt,1.77656,-1.44296,5473.68111,-89186.65380,True,False,-59.21852
1005,0.14158,0.97917,1001.16018,-99.83025,2.15418,mustard silt,0.19257,2.00735,5475.20721,-89186.36869,True,False,-42.34071
1006,-0.87842,1.93383,1001.01886,-99.76958,4.25443,mustard silt,0.97022,-2.53477,5472.54525,-89186.46311,True,False,-93.41174
1007,0.01819,0.76552,1000.58977,-100.00444,1.68415,mustard silt,-0.43711,0.58276,5474.05417,-89184.93513,True,False,-48.79578
1008,2.07498,-1.09462,1000.66793,-100.21592,-2.40817,surströmming,-3.35062,1.42705,5471.98464,-89186.72301,True,False,54.08303
1009,0.90553,0.13701,1001.19197,-99.87124,0.30142,mustard silt,-2.61490,-0.15077,5474.64457,-89186.28714,True,False,-4.12747
1010,0.88798,0.29980,1001.19060,-99.56706,0.65956,mustard silt,0.19100,1.43415,5479.65308,-89187.33717,False,False,-5.00576
1011,2.07034,-1.10165,1000.43480,-100.17535,-2.42364,surströmming,1.78636,-1.60227,5473.85600,-89186.08141,True,False,53.73462
1012,1.96321,-1.02879,1000.80716,-99.77467,-2.26334,surströmming,0.19282,-0.73227,5472.94000,-89185.04207,False,False,48.56425
1013,-0.02854,1.23743,1000.87106,-100.22346,2.72234,mustard silt,1.07490,2.64206,5471.76571,-89187.82315,True,False,-50.99155
1014,0.22082,0.97320,1000.86467,-99.49359,2.14103,mustard silt,-0.44400,-2.65963,5474.97674,-89183.69484,False,False,-38.52687
1015,0.40076,0.60724,1000.89932,-100.06484,1.33592,mustard silt,0.66863,0.09840,5474.56789,-89186.04502,True,False,-29.51210
1016,2.75430,-1.66208,1001.13559,-99.79316,-3.65658,surströmming,2.68283,2.84760,5477.98808,-89186.92467,False,False,88.28268
1017,0.36505,0.57156,1000.75206,-99.62974,1.25743,mustard silt,-0.24675,-1.98497,5475.64416,-89184.10366,False,False,-31.37162
1018,-0.16512,1.20518,1000.56186,-99.97813,2.65141,mustard silt,0.20265,-0.24063,5475.58607,-89186.15620,True,False,-57.97496
1019,1.95266,-0.83126,1000.61546,-99.99703,-1.82878,surströmming,1.04017,0.29560,5475.09580,-89182.31639,True,False,47.94069
1020,0.02599,0.78023,1000.18249,-100.18227,1.71650,mexicansk silt,-0.68787,0.19001,5478.79256,-89186.67086,True,False,-48.60945
1021,1.71060,-0.77323,1000.75653,-100.17155,-1.70110,surströmming,-2.36792,-0.91154,5476.24986,-89188.19770,True,False,35.90839
1022,1.07519,-0.07436,1000.55476,-100.09735,-0.16359,surströmming,-1.56593,-0.25737,5477.31358,-89189.18295,True,False,4.03699
1023,0.02795,1.11430,1000.32432,-100.02986,2.45146,mustard silt,-0.49798,-0.34616,5479.35428,-89185.15150,True,False,-48.44050
1024,-1.73656,2.35393,1000.13656,-100.04237,5.17865,mustard silt,-2.74529,0.02174,5475.85982,-89186.83447,True,False,-136.75989
1025,0.45010,0.42399,1000.98926,-99.39961,0.93279,mustard silt,-0.38748,-1.09437,5473.37372,-89185.06029,False,False,-27.00041
1026,2.97614,-2.20172,1000.70617,-100.34565,-4.84378,surströmming,1.43075,-2.00327,5472.48010,-89186.51688,True,False,99.15999
1027,2.50843,-1.65771,1000.45797,-99.94448,-3.64695,surströmming,0.30821,-0.71110,5479.44444,-89184.27058,True,False,75.65049
1028,1.35337,-0.30469,1000.34425,-100.05862,-0.67033,surströmming,0.50094,1.30115,5476.89777,-89187.77419,True,False,17.84073
1029,-0.06788,1.02108,1000.29318,-99.86997,2.24637,mustard silt,3.15136,0.41029,5475.58575,-89188.28687,True,False,-53.24752
1030,1.35847,-0.05609,1000.37168,-100.16002,-0.12339,surströmming,-0.61734,-0.99892,5474.02033,-89186.67912,True,False,18.10953
1031,2.19814,-1.23488,1000.81555,-99.49363,-2.71674,surströmming,1.85498,-2.12165,5475.54536,-89186.48411,False,False,60.31485
1032,1.18339,-0.16671,1001.17961,-99.66644,-0.36676,mustard silt,2.34251,3.29706,5477.01965,-89184.38114,False,False,9.75955
1033,0.61289,0.51567,1000.56168,-99.78659,1.13448,mustard silt,-1.43943,-0.24206,5474.81885,-89187.11316,True,False,-19.07482
1034,0.75427,0.25971,1000.59910,-99.94458,0.57136,mustard silt,0.25611,0.57273,5478.91050,-89185.86838,True,False,-11.98691
1035,0.61501,0.17623,1000.71955,-99.54131,0.38771,mustard silt,-3.55943,-2.73231,5478.22063,-89190.75820,False,False,-18.88980
1036,0.67781,0.38072,1000.92673,-99.74739,0.83759,mustard silt,0.07277,1.16410,5471.97787,-89185.86046,True,False,-15.64622
1037,1.82911,-1.10421,1000.95395,-99.50678,-2.42926,surströmming,-0.62850,-0.04759,5474.91547,-89182.76081,False,False,41.93227
1038,2.08768,-1.16463,1000.90369,-99.68296,-2.56218,surströmming,2.27162,-1.28155,5474.87943,-89185.21371,False,False,54.83582
1039,-1.05326,1.92728,1000.50448,-99.99883,4.24003,mustard silt,-1.70384,1.09491,5474.77550,-89186.69657,True,False,-102.41080
1040,1.79072,-0.81192,1000.58021,-100.04036,-1.78621,surströmming,0.01430,0.75585,5473.14478,-89186.56862,True,False,39.82595
1041,0.65881,0.41635,1000.38586,-99.92507,0.91596,old-fashioned silt,-0.97607,-1.54136,5475.19735,-89183.66133,True,False,-16.86680
1042,0.56913,0.49344,1000.83978,-99.87850,1.08557,mustard silt,-0.64371,-0.26644,5473.78394,-89186.56225,True,False,-21.12350
1043,1.52131,-0.55863,1000.32363,-100.10923,-1.22899,surströmming,-0.00404,0.09201,5473.75289,-89187.02763,True,False,26.22730
1044,1.50745,-0.43333,1000.38468,-100.18661,-0.95332,surströmming,0.57916,-0.54040,5473.51109,-89185.54860,True,False,25.56474
1045,-0.23614,1.13334,1000.30494,-100.06083,2.49335,mustard silt,-0.19170,0.27860,5473.43958,-89184.93691,True,False,-61.65478
1046,2.85604,-2.04762,1001.23680,-99.89362,-4.50475,surströmming,1.57339,0.10662,5473.85440,-89186.16611,True,False,93.42026
1047,-1.38814,2.24050,1000.73365,-99.65218,4.92910,mustard silt,-0.89571,-1.35480,5474.80980,-89186.80278,True,False,-119.03997
1048,2.96864,-1.80714,1000.95305,-99.51653,-3.97572,surströmming,0.03436,1.11376,5474.51651,-89184.33974,False,False,98.90838
1049,3.05544,-2.27332,1000.74726,-99.53013,-5.00131,surströmming,-0.19531,-0.44210,5478.49144,-89187.86859,False,False,103.14587
1050,-0.21246,1.10215,1000.72107,-99.75570,2.42473,mustard silt,0.28353,1.29179,5474.35574,-89184.52117,True,False,-60.26237
1051,0.83874,0.28901,1001.01482,-99.65022,0.63582,mustard silt,0.43254,-1.14513,5476.18443,-89187.37729,False,False,-7.55551
1052,0.35022,0.38985,1000.57703,-100.14260,0.85766,old-fashioned silt,0.48276,3.16626,5480.61095,-89188.68679,True,False,-32.20024
1053,1.95571,-0.95187,1000.64355,-99.80230,-2.09412,surströmming,-0.12234,0.52080,5472.35833,-89186.20974,False,False,48.10703
1054,-1.20142,2.45405,1000.45152,-100.11474,5.39891,mustard silt,1.55889,-1.17516,5473.14374,-89185.47688,True,False,-109.84522
1055,0.03094,1.01596,1000.94392,-99.66383,2.23512,mustard silt,3.75081,2.85339,5472.12305,-89188.70612,True,False,-47.98118
1056,-0.05442,1.24310,1000.59361,-99.99929,2.73483,mustard silt,-0.39008,0.46344,5478.00318,-89187.49980,True,False,-52.42438
1057,0.71709,0.45437,1000.49031,-99.95120,0.99962,mustard silt,-0.34919,0.59016,5473.71843,-89185.37636,True,False,-13.90051
1058,1.80862,-1.03949,1000.77003,-99.76784,-2.28688,surströmming,-0.21103,0.75832,5472.55809,-89183.75908,False,False,40.81616
1059,1.14307,0.03236,1001.14807,-99.51089,0.07119,mustard silt,-0.51274,-1.94590,5478.92974,-89187.77664,False,False,7.72766
1060,1.68250,-0.88784,1001.01315,-99.95369,-1.95325,surströmming,-0.85625,0.77601,5475.74315,-89185.67265,True,False,34.63155
1061,2.24023,-1.32594,1000.99949,-99.80456,-2.91708,surströmming,0.98248,2.39275,5474.87992,-89184.28910,False,False,62.51102
1062,0.93090,-0.00895,1001.17807,-99.97362,-0.01969,mustard silt,-1.28036,-0.02844,5473.28097,-89185.82321,True,False,-2.86582
1063,0.12626,0.91901,1001.40037,-99.84982,2.02183,mustard silt,0.49313,-1.72747,5475.51100,-89186.68776,True,False,-42.98694
1064,0.38771,0.39985,1000.68253,-99.82985,0.87967,mustard silt,1.21358,-1.47049,5478.93668,-89187.09691,True,False,-30.27348
1065,0.17992,0.84967,1001.09626,-99.64912,1.86927,mustard silt,-0.02562,1.36180,5474.62404,-89184.74721,True,False,-40.45594
1066,2.48319,-1.68272,1000.23055,-100.32740,-3.70199,surströmming,1.29148,-0.57690,5473.46095,-89185.54424,True,False,74.27468
1067,0.14612,0.76217,1000.91482,-99.74109,1.67677,mustard silt,0.32596,-0.24633,5474.48331,-89187.34757,True,False,-42.23669
1068,1.06358,-0.06480,1000.33906,-100.52802,-0.14256,surströmming,-1.08478,1.33308,5471.25177,-89186.72350,True,False,3.34833
1069,0.92297,-0.01120,1001.17311,-99.47273,-0.02464,mustard silt,-0.18020,-1.89397,5473.29480,-89186.00125,False,False,-3.26495
