,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Jorg,1.89800,-0.91532,1001.07528,-99.67631,-2.01370,silt med schnapps,0.21899,1.31437,5476.78246,-89185.53295,False,False,45.43766
1,Atsuto,2.34729,-1.37549,1001.03620,-99.73255,-3.02608,surströmming,-0.10396,0.93503,5476.23607,-89185.90227,False,False,67.88261
2,Bob,0.53152,0.44196,1001.11837,-100.15356,0.97231,mustard silt,-2.27611,-0.91241,5474.23757,-89185.64328,True,False,-22.86474
3,Atsuto,-0.06187,1.05642,1000.40764,-99.93863,2.32413,mustard silt,0.64389,0.32010,5474.25075,-89186.21351,True,False,-52.88957
4,Atsuto,0.38323,0.68640,1000.68982,-99.83166,1.51007,mustard silt,0.07530,0.60663,5472.79138,-89185.78548,True,False,-30.49365
5,Jorg,0.39279,0.79381,1000.58363,-100.08501,1.74639,mustard silt,0.98984,1.72868,5475.53142,-89186.28616,True,False,-30.06893
6,Bob,-0.34131,1.38740,1000.33195,-99.91988,3.05227,mustard silt,-1.15003,2.29117,5471.73228,-89185.85434,True,False,-66.89968
7,Atsuto,0.90110,0.34054,1000.52138,-99.86602,0.74919,mustard silt,-0.93298,-0.26257,5473.00364,-89185.77676,True,False,-4.68419
8,Jorg,-0.14626,1.26616,1000.67564,-100.01952,2.78556,mustard silt,1.42904,0.83677,5479.23504,-89188.15131,True,False,-56.97519
9,Bob,0.61108,0.51676,1000.61570,-99.78944,1.13688,mustard silt,-1.37044,2.36480,5473.41038,-89185.96398,True,False,-19.13793
10,Jorg,0.57940,0.33108,1000.59783,-99.66310,0.72838,mustard silt,1.25207,4.04586,5473.79990,-89185.28801,False,False,-20.73126
11,Jorg,2.14618,-1.31734,1000.99373,-99.36851,-2.89815,surströmming,0.01495,0.19441,5473.83216,-89185.99811,False,False,57.80571
12,Atsuto,0.26180,0.66566,1000.82450,-99.72730,1.46446,mustard silt,-0.60901,1.30824,5473.71775,-89186.00595,True,False,-36.49781
13,Bob,2.33772,-1.46876,1000.67986,-100.16362,-3.23128,surströmming,0.82160,-0.60684,5473.74513,-89185.97723,True,False,67.22582
14,Atsuto,1.02273,0.05357,1001.05916,-99.60099,0.11785,mustard silt,0.17909,-0.16378,5477.80463,-89186.50136,False,False,1.66603
15,Atsuto,2.66437,-1.68211,1000.53472,-99.97030,-3.70064,surströmming,-0.42417,0.12910,5475.24884,-89185.26758,True,False,83.48600
16,Jorg,1.11593,0.07704,1000.66065,-99.72226,0.16949,mustard silt,-0.25111,-0.65478,5475.19713,-89186.97002,False,False,6.12670
17,Atsuto,3.42390,-2.26982,1000.81718,-99.68599,-4.99360,surströmming,-0.19817,-0.01990,5478.06698,-89186.91003,False,False,121.60358
18,Bob,0.84945,0.30823,1000.52931,-99.77677,0.67810,mustard silt,0.50837,-0.53521,5473.36365,-89185.10370,True,False,-7.26270
19,Bob,1.32516,-0.30161,1001.41440,-99.74286,-0.66353,mustard silt,3.75912,-1.49173,5474.30079,-89183.70020,True,False,16.96516
